original_path,filename,file_type,reason,content_read,recommended_next_action
00_INBOX - Входящи - Eingang/Accounting/BRN3C2AF492C3FA_20250312_121121_038078.pdf,BRN3C2AF492C3FA_20250312_121121_038078.pdf,.pdf,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/BRN3C2AF492C3FA_20250425_105744_039055.pdf,BRN3C2AF492C3FA_20250425_105744_039055.pdf,.pdf,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/BRN3C2AF492C3FA_20251119_133706_044302.pdf,BRN3C2AF492C3FA_20251119_133706_044302.pdf,.pdf,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/enrico_deductions_detailed.xlsx,enrico_deductions_detailed.xlsx,.xlsx,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/Hauptzollamt Erfurt Umbuchung der Zahlung.pdf,Hauptzollamt Erfurt Umbuchung der Zahlung.pdf,.pdf,Low confidence match: Hauptzollamt,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/image.png,image.png,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/image001.png,image001.png,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/image00122.png,image00122.png,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/image222.png,image222.png,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/Martin Zahariev - Bescheid - Adressnachweis.pdf,Martin Zahariev - Bescheid - Adressnachweis.pdf,.pdf,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/Screenshot_20240212_173450_Samsung Internet.jpg,Screenshot_20240212_173450_Samsung Internet.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/Screenshot_20250121_103739_Revolut.jpg,Screenshot_20250121_103739_Revolut.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/Screenshot_20250127_123918_Google.jpg,Screenshot_20250127_123918_Google.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/Screenshot_20250127_124135_Google.jpg,Screenshot_20250127_124135_Google.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/Still missing.PNG,Still missing.PNG,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/tempFileForShare_20250127-132510.jpg,tempFileForShare_20250127-132510.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/unnamed.png,unnamed.png,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/unnamed1.png,unnamed1.png,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/unnamed222.jpg,unnamed222.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/unnamed222.png,unnamed222.png,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/unnamed3.png,unnamed3.png,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/unnamed3333333.jpg,unnamed3333333.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/unnamed34.22.png,unnamed34.22.png,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/Untitled.jpg,Untitled.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/working hours 04.2025(1).xlsx,working hours 04.2025(1).xlsx,.xlsx,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/Без им22е222.png,Без им22е222.png,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/Без име222.png,Без име222.png,.png,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/accountings032024/Accountings 03-2024.pdf,Accountings 03-2024.pdf,.pdf,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/awbonuses042024/38389 - Vorgangsmappe Lohn - Auszahlungen Inflationsprämie.xlsx,38389 - Vorgangsmappe Lohn - Auszahlungen Inflationsprämie.xlsx,.xlsx,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/awbonuses042024/Working Hours 04.2024.xlsx,Working Hours 04.2024.xlsx,.xlsx,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
