content_hash,kept_source_file,duplicate_source_file,reason
6116c7a98676bb31519e84a957284b890a5e2d88cb3a69c3f9a894cab44b8890,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/working hours 06.2025  Копие.xlsx,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/working hours 06.2025  Копие__copy2.xlsx,Same file hash.
4b0e92da9f16ce9dd0ad676d641443cb6333edaf6b0da506c88cc18eb4e2dcbe,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/working hours 12.2024.xlsx,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/working hours 12.2024__copy2.xlsx,Same file hash.
e0a222d2ba5a6143713111e6008a8f667b1b2c7155a0041a0384238714f26749,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Zoll Kitanov.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/02_Payroll/Zoll Kitanov__copy2.pdf,Same file hash.
a3242c9208a13a4a1b7a319e30bd8061d9babbdf1cd9183d0fb1e0f29a3bf7dd,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 01-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 01-2024__copy2.pdf,Same file hash.
a3242c9208a13a4a1b7a319e30bd8061d9babbdf1cd9183d0fb1e0f29a3bf7dd,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 01-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 01-2024__copy3.pdf,Same file hash.
aa9b1e5bbcf61489fd4847ec539088507b569b8158ca050fcd7eafae4cec1a6b,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 01-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 01-2025__copy2.pdf,Same file hash.
aa9b1e5bbcf61489fd4847ec539088507b569b8158ca050fcd7eafae4cec1a6b,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 01-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 01-2025__copy3.pdf,Same file hash.
f93b00250f9ed3ee1f5d89f5ca1f359feb050ae5d78a156846915bbeb810a7ba,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 02-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 02-2024__copy2.pdf,Same file hash.
f93b00250f9ed3ee1f5d89f5ca1f359feb050ae5d78a156846915bbeb810a7ba,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 02-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 02-2024__copy3.pdf,Same file hash.
8d6061a8a64e647fcf11944b2b40c350743628e9b41d0591ea073f09a3863b5c,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 02-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 02-2025__copy2.pdf,Same file hash.
8d6061a8a64e647fcf11944b2b40c350743628e9b41d0591ea073f09a3863b5c,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 02-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 02-2025__copy3.pdf,Same file hash.
890e9ba637ca1386fbc5a3305ff17f3bb1be2915fa12b32ac523971363412302,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 03-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 03-2024__copy2.pdf,Same file hash.
